page_title,revision_id,prediction,probability_B,probability_C,probability_FA,probability_GA,probability_Start,probability_Stub
"Dutton, Alabama",1166067175,C,0.2715533455800869,0.37594549760683876,0.007995404262193655,0.0435093692076808,0.29102355427896137,0.009972829064238516
"East Brewton, Alabama",1165647609,C,0.18725539591853899,0.33745549769290323,0.007204595089861798,0.1647145145929046,0.29748900928238525,0.005880987423406097
"Eclectic, Alabama",1145048302,C,0.23061075580158263,0.47634890853408923,0.010982533112296921,0.13687546754178959,0.14003373788174323,0.0051485971284985915
"Edwardsville, Alabama",1166067508,C,0.23849289192939008,0.4002089185299574,0.007992449339064912,0.049853839799579,0.29267382048647295,0.010778079915535766
"Elba, Alabama",1163400900,C,0.23539296946027152,0.49258333128519005,0.02229180507493113,0.19842241972948743,0.04595112885650309,0.005358345593616899
"Elberta, Alabama",1175895043,C,0.1734458805109932,0.6856685078904516,0.006173150497599203,0.0702110980200289,0.060985728711811696,0.0035156343691154332
"Eldridge, Alabama",1178177223,Start,0.11837891038402924,0.2975475444378266,0.006589703889663008,0.03983906825740004,0.5259803554829892,0.011664417548091926
"Elkmont, Alabama",1176555126,C,0.1872613441975641,0.5550696304494585,0.0063877968299577885,0.10323466721972528,0.1436732603965471,0.004373300906747235
"Elmore, Alabama",1166067658,C,0.19687531529178945,0.4406219735744638,0.010892156151147433,0.20751106126391192,0.13900471267645678,0.00509478104223068
"Emelle, Alabama",1158753175,C,0.17646103313677802,0.7000876095912738,0.00944474338134385,0.07750228720718526,0.032750264782533026,0.003754061900885919
"Enterprise, Alabama",1160273773,C,0.3420937094996493,0.589668259649614,0.014184031622216075,0.036341009280695724,0.014837804866943919,0.002875185080881012
"Epes, Alabama",1166067751,C,0.265660350790766,0.6189454799409253,0.014066357462535536,0.0638779447513348,0.03306983473474598,0.004380032319692444
"Ethelsville, Alabama",1166067848,Start,0.131697258338234,0.28488075393052,0.005411622144698757,0.029334678169935683,0.5399275505704944,0.008748136846117045
"Eufaula, Alabama",1160493671,GA,0.12297943648617489,0.03346455867762984,0.29583052836075385,0.5328186184006748,0.010862458869856824,0.004044399204909783
"Eutaw, Alabama",1158611853,C,0.26681897712729613,0.45545223875559837,0.042467601512882265,0.20203631431027116,0.027590279566199246,0.005634588727752842
"Eva, Alabama",1166067877,GA,0.15962679252081013,0.3016469657093616,0.0064840392993071785,0.47573290894316744,0.05203715264627853,0.004472140881075087
"Evergreen, Conecuh County, Alabama",1158611789,C,0.1838578082522846,0.47720867796615385,0.013094554140881277,0.2552837259067571,0.06606613959888803,0.004489094135035113
"Excel, Alabama",1166067942,C,0.1678266625249277,0.2865888267854807,0.006580044499990973,0.2479367074054938,0.2832385325990674,0.007829226185039548
"Fairfield, Alabama",1177239572,C,0.22761892066404113,0.651049892676093,0.010971176648842371,0.02685247072750045,0.07845892157553278,0.005048617707990101
"Fairhope, Alabama",1173963070,C,0.16222861754321038,0.7945342882713929,0.008358890677964758,0.019787663418465804,0.013004136925207334,0.0020864031637585533
"Fairview, Alabama",1166068021,C,0.2563714064379705,0.3760661444792592,0.0072837855515358345,0.12154424622394241,0.231466015972842,0.007268401334450182
"Falkville, Alabama",1166068054,GA,0.18429368298673715,0.2586234823223573,0.011601077338591332,0.5074189514893224,0.03352550053824168,0.004537305324750251
"Faunsdale, Alabama",1167428050,GA,0.12308865254403335,0.16827501177934548,0.00916664190849122,0.6632267629366084,0.03258853016464892,0.003654400666872689
"Fayette, Alabama",1142947111,C,0.21568633458835038,0.5067702293402564,0.017894643899038925,0.19894252510177773,0.05571447294313589,0.004991794127440537
"Five Points, Alabama",1166068289,C,0.22674972457851744,0.3197040545779857,0.009224722620595144,0.189344310955819,0.24939418437053001,0.005583002896552656
"Flomaton, Alabama",1166244039,C,0.22297187942756572,0.4545563246940802,0.00864767159832782,0.11187482580105768,0.196035188304421,0.0059141101745473525
"Florala, Alabama",1166068321,C,0.2529689823723179,0.5012328456265768,0.01623018792564478,0.07400532961384927,0.1495987391045331,0.0059639153570782335
"Florence, Alabama",1178304592,C,0.36695618525185014,0.5832140823804971,0.020730775215482836,0.020424876728527202,0.006500147692136131,0.0021739327315068147
"Foley, Alabama",1166414056,C,0.17731134105029692,0.47608879530482623,0.009971525969111685,0.2810788269418924,0.05138836778971568,0.004161142944157073
"Forkland, Alabama",1166068466,C,0.18849399727930252,0.3807177617554318,0.0076614360414273925,0.1525845666507338,0.2657807263034254,0.004761511969679138
"Fort Deposit, Alabama",1177020476,C,0.1953383660055578,0.4478334500549578,0.011947767132434221,0.21696792149849592,0.1229770191433629,0.004935476165191294
"Fort Payne, Alabama",1172551841,GA,0.304319796715346,0.29517982742737386,0.07227803514778139,0.3081049121493181,0.014849515149117738,0.005267913411062876
"Franklin, Alabama",1166068620,GA,0.1374560734417852,0.2021394753428842,0.010632220737411394,0.6164390892798479,0.029748837914890167,0.0035843032831811886
"Frisco City, Alabama",1166068863,C,0.18677599624894356,0.4778996534788709,0.0073075435004535776,0.11797105557397808,0.20467079051777665,0.005374960679977385
"Fruithurst, Alabama",1166068877,Start,0.1856458542077617,0.36251588723611816,0.008075467759159183,0.04540105608577548,0.38506017573903856,0.013301558972147267
"Fulton, Alabama",1166068885,Start,0.11770087833852935,0.2822744622787645,0.0064527353812363205,0.028058206216413598,0.5448745609103491,0.020639156874707004
"Fultondale, Alabama",1165840932,C,0.16183097190007742,0.5522744803523881,0.00996046654484981,0.23521965630815855,0.03684560305135425,0.003868821843171853
"Fyffe, Alabama",1160192215,C,0.25577335022486514,0.3387958668353754,0.01174114764738596,0.3297473779530587,0.05855283478783964,0.005389422551475238
"Gadsden, Alabama",1177146243,C,0.3691351602104491,0.46424203001307945,0.04686933517166258,0.09656719098858281,0.018502891331989634,0.004683392284236539
"Gainesville, Alabama",1166068936,C,0.2599404628274967,0.34882154144979693,0.008976763372988672,0.20555835830185157,0.17107261917909056,0.005630254868775512
"Gantt, Alabama",1180408898,Start,0.13145572958188573,0.31793254939254484,0.00699366862291662,0.05354086356978333,0.46972271684722805,0.020354471985641644
"Garden City, Alabama",1166068968,C,0.17979589784955355,0.3765431245097778,0.006511189493934093,0.06532551745284995,0.36449794078353076,0.007326329910353952
"Gardendale, Alabama",1175530987,C,0.33954986174938645,0.60362928650872,0.016192329967792636,0.01947227077534765,0.018136166683672284,0.003020084315080895
"Gaylesville, Alabama",1166069113,C,0.2124319610917704,0.3655705977084831,0.009778605170100745,0.17358593465329838,0.23094865939997206,0.007684241976375342
"Geiger, Alabama",1166069121,Start,0.17093125090536662,0.32947928602362553,0.006715628028358878,0.0733672249494739,0.4113525303861643,0.008154079707010611
"Geneva, Alabama",1179698088,C,0.2215123641328955,0.3899271389166963,0.02252029780972711,0.3063643494521446,0.054779987588594585,0.004895862099941884
"Georgiana, Alabama",1178540000,Start,0.14721302049680446,0.34387596486281397,0.005524281648368526,0.057163935596270025,0.4393383269775394,0.0068844704182036386
"Geraldine, Alabama",1166069211,C,0.23079478601713183,0.4565320404055742,0.008186661890362245,0.08897091505596982,0.20946690705559579,0.006048689575366191
"Gilbertown, Alabama",1166069407,C,0.20417127839145044,0.3776542912347089,0.007365040771810046,0.10930274346957149,0.29552453892173525,0.005982107210723771
"Glen Allen, Alabama",1166069457,C,0.1860784421830817,0.35357492349618225,0.006873497403519016,0.10727374255427927,0.3369375418864111,0.009261852476526947
"Glencoe, Alabama",1165748058,C,0.20110240409381952,0.37261617064898916,0.010333990190700738,0.2622306069237656,0.14833578790785698,0.00538104023486802
"Glenwood, Alabama",1096814086,Start,0.21576746785715695,0.3421552476423771,0.007550289741390415,0.0594738445091942,0.3612043883029298,0.013848761946951813
"Goldville, Alabama",1177535939,Start,0.23713387141384457,0.3319368841659653,0.0070872392514543725,0.040776919530982024,0.37477202082392097,0.008293064813832901
"Good Hope, Alabama",1165748200,C,0.18855642145945864,0.33522684869352376,0.0077242861742718655,0.24104619563113322,0.2222245530085403,0.005221695033072342
"Goodwater, Alabama",1166069571,C,0.16299156406867682,0.42455409759333546,0.007580520865624738,0.06233809357834088,0.3378185938599002,0.00471713003412212
